SCHEME_CODE,SCHEME_NAME,SCHEME_TYPE,COMPANY_ID,LAUNCH_DATE
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,INF209KA12Z1,1051,
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,INF209K01YM2,1051,
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,INF209K01YO8,1051,
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,INF209K01LX6,1051,
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,INF209K01LU2,1051,
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,INF209K01LN7,1051,
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,INF209K01LR8,1051,
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,INF209K01LS6,1051,
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,INF209K01LV0,1051,
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,INF209K01LT4,1051,
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,INF209K01YN0,1051,
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,INF846K01NF8,1052,
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,-,1052,
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,INF846K01CR6,1052,
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,INF846K01CT2,1052,
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,INF846K01CV8,1052,
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,INF846K01NG6,1052,
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,-,1052,
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,INF846K01CB0,1052,
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,INF846K01CF1,1052,
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,INF846K01CD6,1052,
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,INF0QA701649,989,
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,INF0QA701615,989,
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,INF0QA701557,989,
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,INF0QA701565,989,
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,INF0QA701607,989,
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,INF0QA701599,989,
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,INF194K019M8,1053,
